item_id,crop_path,caption,gender,category
id_00000182,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000182/01_2_side.jpg,Jeans,MEN,Denim
id_00000265,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000265/01_2_side.jpg,black overalls,MEN,Denim
id_00000313,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000313/01_1_front.jpg,The shirt is shown in the image,MEN,Denim
id_00000313,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000313/01_2_side.jpg,The denim jeans,MEN,Denim
id_00000353,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000353/01_1_front.jpg,The black bomber jacket,MEN,Denim
id_00000353,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000353/01_2_side.jpg,The black leather jacket,MEN,Denim
id_00000353,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000353/01_7_additional.jpg,A black leather jacket,MEN,Denim
id_00000353,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000353/02_3_back.jpg,Jeans,MEN,Denim
id_00000826,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000826/01_1_front.jpg,The white shirt with black holes,MEN,Denim
id_00000826,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000826/01_2_side.jpg,The black skinny jeans,MEN,Denim
id_00000826,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000826/01_4_full.jpg,Black skinny jeans,MEN,Denim
id_00000826,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000826/01_7_additional.jpg,A white shirt and black pants,MEN,Denim
id_00000826,/kaggle/input/datasets/svnsaisathvik/text-images/img/img/MEN/Denim/id_00000826/02_1_front.jpg,The white jeans,MEN,Denim
